topic,mean_neg,median_neg,n
economy,0.6237432669543889,0.6057905294001102,1267
haiti_migration,0.7456295894426049,0.8023646734654903,1659
health,0.6350266808755546,0.6233620774000883,1114
identity,0.6894735364265292,0.7120591215789318,1148
other,0.688053388439073,0.7436361080035567,1138
security,0.6703971611546584,0.6795456260442734,1421
