keyword,mean_neg,n
deport,0.7769135939665733,94
extranje,0.6970145048590024,227
fronter,0.7450594671856379,160
hait*,0.7682590394956869,1036
indocumenta,0.8122190688514993,21
inmigr,0.7608024895380368,128
migra,0.7499824859176697,314
muro,0.7026444010303489,7
