discourse,link,datetime,id,file
Palabras del presidente Luis Abinader en la entrega de la tarjeta Bono Navideño,https://presidencia.gob.do/discursos/palabras-del-presidente-luis-abinader-en-la-entrega-de-la-tarjeta-bono-navideno,2020-12-14T23:00:00Z,palabras_del_presidente_luis_abinader_en_la_entrega_de_la_tarjeta_bono_navideo,data/raw/discursos/palabras_del_presidente_luis_abinader_en_la_entrega_de_la_tarjeta_bono_navideo.pdf
Palabras del presidente Abinader en el panel Marca País,https://presidencia.gob.do/discursos/palabras-del-presidente-abinader-en-el-panel-marca-pais,2020-12-14T23:00:00Z,palabras_del_presidente_abinader_en_el_panel_marca_pas,data/raw/discursos/palabras_del_presidente_abinader_en_el_panel_marca_pas.pdf
Declaraciones del presidente Luis Abinader en el evento virtual AmchamDR Encounters,https://presidencia.gob.do/discursos/declaraciones-del-presidente-luis-abinader-en-el-evento-virtual-amchamdr-encounters,2020-12-14T23:00:00Z,declaraciones_del_presidente_luis_abinader_en_el_evento_virtual_amchamdr_encounters,data/raw/discursos/declaraciones_del_presidente_luis_abinader_en_el_evento_virtual_amchamdr_encounters.pdf
Palabras del presidente Abinader durante la afiliación de dos millones más de dominicanos en el Seguro Nacional de Salud,https://presidencia.gob.do/discursos/palabras-del-presidente-abinader-durante-la-afiliacion-de-dos-millones-mas-de-dominicanos,2020-12-13T23:00:00Z,palabras_del_presidente_abinader_durante_la_afiliacin_de_dos_millones_ms_de_dominicanos_en_el_seguro_nacional_de_salud,data/raw/discursos/palabras_del_presidente_abinader_durante_la_afiliacin_de_dos_millones_ms_de_dominicanos_en_el_seguro_nacional_de_salud.pdf
Palabras del presidente Abinader en la firma de la declaración de Chapultepec y de Salta,https://presidencia.gob.do/discursos/palabras-del-presidente-abinader-en-la-firma-de-la-declaracion-de-chapultepec-y-de-salta,2020-10-22T22:00:00Z,palabras_del_presidente_abinader_en_la_firma_de_la_declaracin_de_chapultepec_y_de_salta,data/raw/discursos/palabras_del_presidente_abinader_en_la_firma_de_la_declaracin_de_chapultepec_y_de_salta.pdf
Palabras del presidente Luis Abinader en el lanzamiento Estrategia Marca País,https://presidencia.gob.do/discursos/palabras-del-presidente-luis-abinader-en-el-lanzamiento-estrategia-marca-pais,2020-10-19T22:00:00Z,palabras_del_presidente_luis_abinader_en_el_lanzamiento_estrategia_marca_pas,data/raw/discursos/palabras_del_presidente_luis_abinader_en_el_lanzamiento_estrategia_marca_pas.pdf
Discurso del presidente Luis Abinader al pueblo dominicano,https://presidencia.gob.do/discursos/discurso-del-presidente-luis-abinader-al-pueblo-dominicano,2020-10-07T22:00:00Z,discurso_del_presidente_luis_abinader_al_pueblo_dominicano,data/raw/discursos/discurso_del_presidente_luis_abinader_al_pueblo_dominicano.pdf
Palabras del presidente Luis Abinader ante el Parlamento Centroamericano,https://presidencia.gob.do/discursos/palabras-del-presidente-luis-abinader-ante-el-parlamento-centroamericano,2020-09-29T22:00:00Z,palabras_del_presidente_luis_abinader_ante_el_parlamento_centroamericano,data/raw/discursos/palabras_del_presidente_luis_abinader_ante_el_parlamento_centroamericano.pdf
Discurso del presidente Luis Abinader en la Organización de las Naciones Unidas (ONU),https://presidencia.gob.do/discursos/discurso-del-presidente-luis-abinader-en-la-organizacion-de-las-naciones-unidas-onu,2020-09-22T22:00:00Z,discurso_del_presidente_luis_abinader_en_la_organizacin_de_las_naciones_unidas_onu,data/raw/discursos/discurso_del_presidente_luis_abinader_en_la_organizacin_de_las_naciones_unidas_onu.pdf
Declaraciones del presidente Luis Abinader dirigida a los dominicanos por primer mes en el Gobierno,https://presidencia.gob.do/discursos/declaraciones-del-presidente-luis-abinader-dirigida-los-dominicanos-por-primer-mes-en-el,2020-09-15T22:00:00Z,declaraciones_del_presidente_luis_abinader_dirigida_a_los_dominicanos_por_primer_mes_en_el_gobierno,data/raw/discursos/declaraciones_del_presidente_luis_abinader_dirigida_a_los_dominicanos_por_primer_mes_en_el_gobierno.pdf
Discurso del presidente Luis Abinader en el acto de toma de posesión ante la Asamblea Nacional,https://presidencia.gob.do/discursos/discurso-del-presidente-luis-abinader-en-el-acto-de-toma-de-posesion-ante-la-asamblea,2020-08-15T22:00:00Z,discurso_del_presidente_luis_abinader_en_el_acto_de_toma_de_posesin_ante_la_asamblea_nacional,data/raw/discursos/discurso_del_presidente_luis_abinader_en_el_acto_de_toma_de_posesin_ante_la_asamblea_nacional.pdf
