Arrestados segun edad sexo y nacionalidad,Número de arrestos,Periodo,Año
Dominicanos,4766,Abril-Junio,2019
Extranjeros,305,Abril-Junio,2019
Edad 1 a 17,64,Julio-Septiembre,2019
Edad 18 a 25,758,Julio-Septiembre,2019
Edad 26 a 30,471,Julio-Septiembre,2019
Edad 31 a 35,415,Julio-Septiembre,2019
Edad 36 a 40,294,Julio-Septiembre,2019
Edad 41 a 45,212,Julio-Septiembre,2019
Edad 46 a 50,191,Julio-Septiembre,2019
Edad 51 a mas,263,Julio-Septiembre,2019
Hombres,2625,Julio-Septiembre,2019
Mujeres,43,Julio-Septiembre,2019
Dominicanos,2548,Julio-Septiembre,2019
Extranjeros,120,Julio-Septiembre,2019
Edad 1 a 17,57,Octubre-Diciembre,2019
Edad 18 a 25,783,Octubre-Diciembre,2019
Edad 26 a 30,524,Octubre-Diciembre,2019
Edad 31 a 35,449,Octubre-Diciembre,2019
Edad 36 a 40,378,Octubre-Diciembre,2019
Edad 41 a 45,252,Octubre-Diciembre,2019
Edad 46 a 50,185,Octubre-Diciembre,2019
Edad 51 a mas,360,Octubre-Diciembre,2019
Hombres,2944,Octubre-Diembre,2019
Mujeres,44,Octubre-Diembre,2019
Dominicanos,2802,Octubre-Diciembre,2019
Extranjeros,186,Octubre-Diciembre,2019
Edad 1 a 17,38,Enero-Marzo,2020
Edad 18 a 25,610,Enero-Marzo,2020
Edad 26 a 30,388,Enero-Marzo,2020
Edad 31 a 35,366,Enero-Marzo,2020
Edad 36 a 40,311,Enero-Marzo,2020
Edad 41 a 45,197,Enero-Marzo,2020
Edad 46 a 50,155,Enero-Marzo,2020
Edad 51 a mas,410,Enero-Marzo,2020
Hombres,2431,Enero-Marzo,2020
Mujeres,44,Enero-Marzo,2020
Dominicanos,2247,Enero-Marzo,2020
Extranjeros,228,Enero-Marzo,2020
Edad 1 a 17,29,Abril-Junio,2020
Edad 18 a 25,427,Abril-Junio,2020
Edad 26 a 30,282,Abril-Junio,2020
Edad 31 a 35,222,Abril-Junio,2020
Edad 36 a 40,176,Abril-Junio,2020
Edad 41 a 45,113,Abril-Junio,2020
Edad 46 a 50,86,Abril-Junio,2020
Edad 51 a mas,198,Abril-Junio,2020
Hombres,1514,Abril-Junio,2020
